City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Berdigestyakh,RU,62.1,126.7,-0.4,92,86,4.72,overcast clouds
310,Kavieng,PG,-2.57,150.8,84.65,66,100,4.07,overcast clouds
311,Choix,MX,26.71,-108.32,82.92,25,0,3.47,clear sky
312,Ouadda,CF,8.08,22.4,69.85,71,19,0.43,few clouds
313,Arlit,NE,18.74,7.39,79.2,16,0,8.59,clear sky
314,Salinopolis,BR,-0.61,-47.36,80.78,80,70,11.77,broken clouds
315,Bengkulu,ID,-3.8,102.27,75.02,84,100,3.96,overcast clouds
316,Porto Novo,BJ,6.5,2.6,78.8,85,13,6.93,few clouds
317,Hornepayne,CA,49.21,-84.77,29.35,97,100,7.58,overcast clouds
318,Poum,NC,-20.23,164.02,77.18,75,0,22.82,clear sky
319,Severo-Kurilsk,RU,50.68,156.12,44.46,78,69,6.2,broken clouds
320,Boralday,KZ,43.36,76.86,35.42,73,87,1.43,overcast clouds
321,Neiafu,TO,-18.65,-173.98,75.29,74,0,21.27,clear sky
322,Phuket,TH,8.0,98.25,82.99,72,100,12.68,light rain
323,Vaitape,PF,-16.52,-151.75,80.6,79,14,17.67,few clouds
324,Todos Santos,MX,23.45,-110.22,81.0,63,0,8.01,clear sky
325,Walvis Bay,NA,-22.96,14.51,57.99,89,31,1.99,scattered clouds
326,Lamont,US,35.26,-118.91,82.0,16,0,1.99,clear sky
327,Bakchar,RU,57.02,82.07,18.39,96,100,9.82,light snow
328,Vilani,LV,56.55,26.92,52.23,90,99,8.79,overcast clouds
329,Maxixe,MZ,-23.86,35.35,71.98,89,17,9.62,few clouds
330,Dalbandin,PK,28.89,64.41,49.66,40,0,1.77,clear sky
331,Kayerkan,RU,69.35,87.76,2.37,76,0,7.4,clear sky
332,Cayenne,GF,4.93,-52.33,81.25,81,21,10.67,few clouds
333,Mont-Dore,NC,-22.28,166.58,84.0,86,5,11.14,clear sky
334,Butembo,CD,0.15,29.28,58.17,100,100,1.88,light rain
335,Vardo,NO,70.37,31.11,39.79,79,85,15.88,overcast clouds
336,Buarcos,PT,40.17,-8.88,57.99,88,0,1.01,clear sky
337,Batagay-Alyta,RU,67.8,130.41,-0.2,83,98,3.0,overcast clouds
338,Lebyazhye,RU,55.27,66.49,32.58,92,100,12.64,overcast clouds
339,Koumra,TD,8.91,17.55,76.26,59,0,1.39,clear sky
340,Parabel,RU,58.7,81.48,10.36,94,98,12.21,overcast clouds
341,Toora-Khem,RU,52.47,96.11,25.5,94,27,1.45,scattered clouds
342,Bandundu,CD,-3.32,17.37,70.34,97,100,2.82,light rain
343,Ketchikan,US,55.34,-131.65,47.32,70,43,2.26,scattered clouds
344,Sao Domingos,BR,-13.4,-46.32,75.52,69,100,2.84,light rain
345,Noumea,NC,-22.28,166.46,84.0,86,0,9.78,clear sky
346,Barranco,PA,9.52,-82.7,79.9,80,99,2.28,light rain
347,Inhambane,MZ,-23.86,35.38,72.55,88,17,10.58,few clouds
348,Vanersborg,SE,58.38,12.32,50.0,87,30,1.99,scattered clouds
349,Rawlins,US,41.79,-107.24,31.91,93,0,4.92,clear sky
350,Plettenberg Bay,ZA,-34.05,23.37,61.36,85,100,2.95,overcast clouds
351,Tyrma,RU,50.08,132.17,30.96,97,79,2.48,broken clouds
352,Yichang,CN,30.71,111.28,52.0,76,29,2.17,light rain
353,Kamra,PK,33.75,73.51,60.01,63,0,1.99,clear sky
354,Nome,US,64.5,-165.41,28.0,83,2,4.0,clear sky
355,Sinnamary,GF,5.38,-52.95,81.59,80,0,11.63,clear sky
356,Langsa,ID,4.47,97.97,75.2,94,100,1.86,light rain
357,Oxelosund,SE,58.67,17.1,43.0,98,8,11.97,clear sky
358,Beringovskiy,RU,63.05,179.32,26.46,93,52,11.72,broken clouds
359,Geraldton,AU,-28.77,114.6,70.12,46,0,14.79,clear sky
360,La Ronge,CA,55.1,-105.28,26.4,94,98,2.51,overcast clouds
361,Buraydah,SA,26.33,43.98,62.17,29,0,4.36,clear sky
362,Tucupita,VE,9.06,-62.05,77.61,94,93,4.92,overcast clouds
363,Manaure,CO,11.78,-72.44,85.08,70,63,14.81,broken clouds
364,Pangody,RU,65.85,74.49,0.01,87,1,6.38,clear sky
365,Mandalgovi,MN,45.76,106.27,34.2,69,0,12.17,clear sky
366,Laguna,US,38.42,-121.42,79.0,23,0,1.01,clear sky
367,Margate,GB,51.38,1.39,51.01,78,58,4.0,broken clouds
368,Dali,CN,25.7,100.18,55.38,87,9,2.75,clear sky
369,Yamada,JP,39.47,141.95,54.7,70,40,8.21,scattered clouds
370,Brae,GB,60.4,-1.35,48.58,84,100,8.28,light rain
371,Severo-Yeniseyskiy,RU,60.37,93.04,18.55,97,100,10.27,overcast clouds
372,Skibbereen,IE,51.55,-9.27,52.52,76,100,17.52,light rain
373,Palmer,US,42.16,-72.33,48.0,95,92,2.8,overcast clouds
374,Collie,AU,-33.37,116.15,61.0,49,0,10.47,clear sky
375,Pemba,MZ,-12.97,40.52,77.76,78,0,6.96,clear sky
376,Qaqortoq,GL,60.72,-46.03,30.2,80,100,4.7,overcast clouds
377,Gouyave,GD,12.16,-61.73,81.39,84,100,15.86,light rain
378,Seshcha,RU,53.74,33.34,40.93,90,0,6.6,clear sky
379,Sur,OM,22.57,59.53,69.64,59,0,2.28,clear sky
380,La Tuque,CA,47.43,-72.78,34.11,92,100,8.84,overcast clouds
381,Uthal,PK,25.81,66.62,71.74,66,0,1.95,clear sky
382,Shenjiamen,CN,29.96,122.3,65.23,77,40,14.79,scattered clouds
383,Chissamba,AO,-12.17,17.33,64.98,91,100,4.25,light rain
384,Talaya,RU,61.38,152.75,15.46,83,0,2.08,clear sky
385,San Quintin,MX,30.48,-115.95,70.63,36,0,11.14,clear sky
386,Vanavara,RU,60.34,102.28,23.58,97,100,8.93,snow
387,Murashi,RU,59.4,48.96,35.1,95,100,7.16,overcast clouds
388,Awallan,PH,17.92,121.91,77.54,85,100,1.77,overcast clouds
389,Bandarbeyla,SO,9.49,50.81,77.41,86,20,5.01,few clouds
390,Rock Sound,BS,24.9,-76.2,81.93,80,20,18.05,few clouds
391,Rocha,UY,-34.48,-54.33,58.08,69,100,15.08,overcast clouds
392,Tuatapere,NZ,-46.13,167.68,54.0,79,93,5.01,overcast clouds
393,Nemuro,JP,43.32,145.57,53.11,74,100,22.3,light rain
394,Srednekolymsk,RU,67.45,153.68,7.95,93,96,1.52,overcast clouds
395,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.54,90,86,11.41,overcast clouds
396,Venice,US,27.1,-82.45,84.0,3,100,3.0,overcast clouds
397,Flinders,AU,-34.58,150.86,61.0,94,91,1.01,light rain
398,Toamasina,MG,-18.17,49.38,71.76,87,10,6.69,light rain
399,Fairmont,US,39.49,-80.14,59.0,90,100,1.5,overcast clouds
400,Eskisehir,TR,39.78,30.52,56.48,47,24,1.21,few clouds
401,Ishigaki,JP,24.34,124.16,77.76,72,98,18.59,overcast clouds
402,Santa Marinella,IT,42.03,11.85,50.0,83,0,6.33,clear sky
403,Shergarh,IN,28.65,79.35,64.18,52,0,2.64,clear sky
404,Coruripe,BR,-10.13,-36.18,76.55,80,99,15.84,overcast clouds
405,Sosnogorsk,RU,63.6,53.88,42.91,83,100,16.04,overcast clouds
406,Samarai,PG,-10.62,150.67,81.95,75,76,4.83,broken clouds
407,Hanzhong,CN,33.07,107.03,46.8,86,25,0.63,scattered clouds
408,Kloulklubed,PW,7.04,134.26,84.31,72,23,11.1,few clouds
409,Hamilton,US,39.18,-84.53,54.0,85,100,1.01,overcast clouds
410,Udachnyy,RU,66.42,112.4,-13.99,88,0,1.07,clear sky
411,Cotonou,BJ,6.37,2.42,80.06,84,22,11.56,few clouds
412,Itacare,BR,-14.28,-39.0,76.98,91,100,9.57,overcast clouds
413,Pirganj,BD,25.85,88.36,70.79,79,0,2.73,clear sky
414,Ayorou,NE,14.73,0.92,83.41,14,0,6.17,clear sky
415,Nadym,RU,65.53,72.52,2.17,87,5,10.74,clear sky
416,Rawson,AR,-43.3,-65.1,51.31,46,21,12.21,few clouds
417,Bada,RU,51.39,109.87,29.68,88,37,2.26,scattered clouds
418,Haines Junction,CA,60.75,-137.51,33.8,64,99,2.24,overcast clouds
419,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.64,79,100,11.12,overcast clouds
420,Coos Bay,US,43.37,-124.22,77.0,73,0,8.01,clear sky
421,Nipawin,CA,53.37,-104.0,22.51,93,0,3.06,clear sky
422,Kargasok,RU,59.06,80.86,8.49,94,98,13.58,overcast clouds
423,Pocao De Pedras,BR,-4.67,-44.85,82.78,64,52,3.51,broken clouds
424,Abengourou,CI,6.73,-3.5,71.53,98,55,2.1,broken clouds
425,Cobija,BO,-11.03,-68.77,85.3,59,92,3.36,overcast clouds
426,Veraval,IN,20.9,70.37,76.35,67,0,11.21,clear sky
427,Yulin,CN,22.63,110.15,69.17,88,99,9.1,light rain
428,Half Moon Bay,US,37.46,-122.43,75.99,29,0,1.01,clear sky
429,Hirara,JP,24.8,125.28,77.25,73,58,15.9,broken clouds
430,Coquimbo,CL,-29.95,-71.34,59.07,62,0,5.41,clear sky
431,Cetateni,RO,45.2,25.18,48.0,81,44,1.01,scattered clouds
432,Araouane,ML,18.9,-3.53,86.58,15,34,7.58,scattered clouds
433,Aksay,RU,47.26,39.87,50.04,72,23,14.83,few clouds
434,Roald,NO,62.58,6.13,48.0,77,97,5.01,light rain
435,Codrington,AU,-38.27,141.97,53.06,86,63,8.52,light rain
436,Dumas,US,35.87,-101.97,32.0,95,100,3.0,snow
437,Turayf,SA,31.67,38.66,67.12,25,20,9.84,few clouds
438,Liwale,TZ,-9.77,37.93,70.56,85,29,5.08,scattered clouds
439,Belmonte,BR,-15.86,-38.88,77.77,88,100,11.9,moderate rain
440,Pochutla,MX,15.74,-96.47,82.99,81,79,4.47,light rain
441,Sioux Lookout,CA,50.1,-91.92,25.34,91,97,6.69,overcast clouds
442,Cap Malheureux,MU,-19.98,57.61,70.0,77,34,1.99,scattered clouds
443,Hailar,CN,49.2,119.7,24.31,91,0,6.06,clear sky
444,Tibati,CM,6.47,12.63,67.89,74,37,2.44,scattered clouds
445,Rafaela,AR,-31.25,-61.49,59.0,51,24,3.0,few clouds
446,Cabo San Lucas,MX,22.89,-109.91,82.0,57,5,5.01,clear sky
